sample_id,snr_db,label
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
14,10,0
15,10,0
16,10,0
17,10,0
18,10,0
19,10,0
20,10,0
21,10,0
22,10,0
23,10,0
24,10,0
25,10,0
26,10,0
27,10,0
28,10,0
29,10,0
30,10,0
31,10,0
32,10,0
33,10,0
34,10,0
35,10,0
36,10,0
37,10,0
38,10,0
39,10,0
40,10,0
41,10,0
42,10,0
43,10,0
44,10,0
45,10,0
46,10,0
47,10,0
48,10,0
49,10,0
50,10,0
51,10,0
52,10,0
53,10,0
54,10,0
55,10,0
56,10,0
57,10,0
58,10,0
59,10,0
60,10,0
61,10,0
62,10,0
63,10,0
64,10,0
65,10,0
66,10,0
67,10,0
68,10,0
69,10,0
70,10,0
71,10,0
72,10,0
73,10,0
74,10,0
75,10,0
76,10,0
77,10,0
78,10,0
79,10,0
80,10,0
81,10,0
82,10,0
83,10,0
84,10,0
85,10,0
86,10,0
87,10,0
88,10,0
89,10,0
90,10,0
91,10,0
92,10,0
93,10,0
94,10,0
95,10,0
96,10,0
97,10,0
98,10,0
99,10,0
100,10,1
101,10,1
102,10,1
103,10,1
104,10,1
105,10,1
106,10,1
107,10,1
108,10,1
109,10,1
110,10,1
111,10,1
112,10,1
113,10,1
114,10,1
115,10,1
116,10,1
117,10,1
118,10,1
119,10,1
120,10,1
121,10,1
122,10,1
123,10,1
124,10,1
125,10,1
126,10,1
127,10,1
128,10,1
129,10,1
130,10,1
131,10,1
132,10,1
133,10,1
134,10,1
135,10,1
136,10,1
137,10,1
138,10,1
139,10,1
140,10,1
141,10,1
142,10,1
143,10,1
144,10,1
145,10,1
146,10,1
147,10,1
148,10,1
149,10,1
150,10,1
151,10,1
152,10,1
153,10,1
154,10,1
155,10,1
156,10,1
157,10,1
158,10,1
159,10,1
160,10,1
161,10,1
162,10,1
163,10,1
164,10,1
165,10,1
166,10,1
167,10,1
168,10,1
169,10,1
170,10,1
171,10,1
172,10,1
173,10,1
174,10,1
175,10,1
176,10,1
177,10,1
178,10,1
179,10,1
180,10,1
181,10,1
182,10,1
183,10,1
184,10,1
185,10,1
186,10,1
187,10,1
188,10,1
189,10,1
190,10,1
191,10,1
192,10,1
193,10,1
194,10,1
195,10,1
196,10,1
197,10,1
198,10,1
199,10,1
200,5,0
201,5,0
202,5,0
203,5,0
204,5,0
205,5,0
206,5,0
207,5,0
208,5,0
209,5,0
210,5,0
211,5,0
212,5,0
213,5,0
214,5,0
215,5,0
216,5,0
217,5,0
218,5,0
219,5,0
220,5,0
221,5,0
222,5,0
223,5,0
224,5,0
225,5,0
226,5,0
227,5,0
228,5,0
229,5,0
230,5,0
231,5,0
232,5,0
233,5,0
234,5,0
235,5,0
236,5,0
237,5,0
238,5,0
239,5,0
240,5,0
241,5,0
242,5,0
243,5,0
244,5,0
245,5,0
246,5,0
247,5,0
248,5,0
249,5,0
250,5,0
251,5,0
252,5,0
253,5,0
254,5,0
255,5,0
256,5,0
257,5,0
258,5,0
259,5,0
260,5,0
261,5,0
262,5,0
263,5,0
264,5,0
265,5,0
266,5,0
267,5,0
268,5,0
269,5,0
270,5,0
271,5,0
272,5,0
273,5,0
274,5,0
275,5,0
276,5,0
277,5,0
278,5,0
279,5,0
280,5,0
281,5,0
282,5,0
283,5,0
284,5,0
285,5,0
286,5,0
287,5,0
288,5,0
289,5,0
290,5,0
291,5,0
292,5,0
293,5,0
294,5,0
295,5,0
296,5,0
297,5,0
298,5,0
299,5,0
300,5,1
301,5,1
302,5,1
303,5,1
304,5,1
305,5,1
306,5,1
307,5,1
308,5,1
309,5,1
310,5,1
311,5,1
312,5,1
313,5,1
314,5,1
315,5,1
316,5,1
317,5,1
318,5,1
319,5,1
320,5,1
321,5,1
322,5,1
323,5,1
324,5,1
325,5,1
326,5,1
327,5,1
328,5,1
329,5,1
330,5,1
331,5,1
332,5,1
333,5,1
334,5,1
335,5,1
336,5,1
337,5,1
338,5,1
339,5,1
340,5,1
341,5,1
342,5,1
343,5,1
344,5,1
345,5,1
346,5,1
347,5,1
348,5,1
349,5,1
350,5,1
351,5,1
352,5,1
353,5,1
354,5,1
355,5,1
356,5,1
357,5,1
358,5,1
359,5,1
360,5,1
361,5,1
362,5,1
363,5,1
364,5,1
365,5,1
366,5,1
367,5,1
368,5,1
369,5,1
370,5,1
371,5,1
372,5,1
373,5,1
374,5,1
375,5,1
376,5,1
377,5,1
378,5,1
379,5,1
380,5,1
381,5,1
382,5,1
383,5,1
384,5,1
385,5,1
386,5,1
387,5,1
388,5,1
389,5,1
390,5,1
391,5,1
392,5,1
393,5,1
394,5,1
395,5,1
396,5,1
397,5,1
398,5,1
399,5,1
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,1
501,0,1
502,0,1
503,0,1
504,0,1
505,0,1
506,0,1
507,0,1
508,0,1
509,0,1
510,0,1
511,0,1
512,0,1
513,0,1
514,0,1
515,0,1
516,0,1
517,0,1
518,0,1
519,0,1
520,0,1
521,0,1
522,0,1
523,0,1
524,0,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,0,1
531,0,1
532,0,1
533,0,1
534,0,1
535,0,1
536,0,1
537,0,1
538,0,1
539,0,1
540,0,1
541,0,1
542,0,1
543,0,1
544,0,1
545,0,1
546,0,1
547,0,1
548,0,1
549,0,1
550,0,1
551,0,1
552,0,1
553,0,1
